candidate_id,job_id,cosine_sim,skill_overlap,exp_match,label
2507,1,0.4601404070854187,0.0,0,0
4725,1,0.5639639496803284,0.2,0,0
1942,1,0.6006901860237122,0.0,1,0
3430,1,0.6656213402748108,0.4,0,0
2164,1,0.7180639505386353,0.4,1,1
3837,1,0.7033485174179077,0.4,0,0
935,1,0.67769855260849,0.6,0,0
4033,1,0.5895329713821411,0.2,0,0
3703,1,0.6923825740814209,0.4,1,1
777,1,0.6441199779510498,0.2,0,0
532,1,0.6126584410667419,0.6,1,1
1818,1,0.6059243083000183,0.2,1,0
3348,1,0.5666037797927856,0.2,0,0
3599,1,0.6689935922622681,0.0,0,0
2073,1,0.6063570976257324,0.4,0,0
1277,1,0.5475137233734131,0.2,0,0
1248,1,0.5605597496032715,0.0,1,0
3708,1,0.6560235619544983,0.4,1,0
4353,1,0.6539149284362793,0.4,1,1
2225,1,0.7155987024307251,0.4,1,0
501,1,0.6947358846664429,0.4,1,0
2748,1,0.688033938407898,0.2,1,0
589,1,0.651129961013794,0.2,1,0
4284,1,0.6300574541091919,0.0,1,0
1167,1,0.5635434985160828,0.2,0,0
368,1,0.6707797050476074,0.2,1,0
4404,1,0.6882234811782837,0.4,0,0
4560,1,0.6143091320991516,0.2,0,0
3987,1,0.6550348997116089,0.2,0,0
665,1,0.572865903377533,0.2,1,0
4644,2,0.5686163902282715,0.25,1,0
1558,2,0.7193351984024048,0.5,0,0
464,2,0.5648556351661682,0.0,1,0
1420,2,0.5682404041290283,0.25,1,0
294,2,0.7112963795661926,0.5,0,0
806,2,0.5660146474838257,0.25,0,0
1684,2,0.5865249633789062,0.0,0,0
4110,2,0.5743625164031982,0.25,1,0
4544,2,0.6251347661018372,0.25,0,0
2456,2,0.6013781428337097,0.25,1,0
2208,2,0.5581105947494507,0.0,0,0
1273,2,0.5562350749969482,0.0,1,0
1387,2,0.47897160053253174,0.0,0,0
3010,2,0.634933352470398,0.25,0,0
1932,2,0.5704287886619568,0.0,0,0
125,2,0.5493533611297607,0.25,0,0
4642,2,0.6382447481155396,0.5,0,0
4934,2,0.5546109080314636,0.0,0,0
1585,2,0.5187028646469116,0.25,1,0
2702,2,0.6157537698745728,0.25,1,0
4667,2,0.5652321577072144,0.25,1,0
2653,2,0.6966264247894287,0.25,1,0
2809,2,0.5829376578330994,0.0,0,0
4047,2,0.6835619807243347,0.75,1,1
4629,2,0.5903029441833496,0.0,1,0
292,2,0.5888242721557617,0.0,1,0
4581,2,0.5420802235603333,0.25,1,0
2460,2,0.6129485368728638,0.25,0,0
1333,2,0.48119500279426575,0.25,0,0
4690,2,0.5537899732589722,0.0,1,0
4655,3,0.5631505846977234,0.0,1,0
441,3,0.6996521949768066,0.16666666666666666,0,0
581,3,0.5308976173400879,0.3333333333333333,1,0
1184,3,0.5714105367660522,0.3333333333333333,0,0
4917,3,0.5716570615768433,0.16666666666666666,0,0
2431,3,0.5891906023025513,0.0,0,0
303,3,0.7223386168479919,0.16666666666666666,1,0
4424,3,0.6739531755447388,0.16666666666666666,0,0
4797,3,0.5484527945518494,0.0,0,0
232,3,0.4726441502571106,0.0,1,0
1242,3,0.7159404158592224,0.5,1,1
965,3,0.5928859114646912,0.16666666666666666,0,0
2542,3,0.6898161768913269,0.16666666666666666,1,0
170,3,0.75043785572052,0.16666666666666666,1,0
1672,3,0.6762649416923523,0.3333333333333333,1,0
413,3,0.7754247784614563,0.3333333333333333,1,0
3438,3,0.6859009265899658,0.16666666666666666,0,0
1677,3,0.6557469367980957,0.0,1,0
3487,3,0.6226932406425476,0.16666666666666666,1,0
3691,3,0.6610807776451111,0.3333333333333333,1,0
734,3,0.5833997130393982,0.3333333333333333,0,0
3791,3,0.6573350429534912,0.5,1,1
1596,3,0.5955528020858765,0.0,0,0
3819,3,0.6603079438209534,0.3333333333333333,0,0
4726,3,0.6563283801078796,0.3333333333333333,0,0
1854,3,0.5995690822601318,0.3333333333333333,0,0
60,3,0.7324374318122864,0.5,1,1
136,3,0.5046789050102234,0.16666666666666666,1,0
2907,3,0.5215445160865784,0.0,1,0
2275,3,0.6128016114234924,0.16666666666666666,1,0
437,4,0.573369026184082,0.2,0,0
2361,4,0.47989559173583984,0.4,1,0
244,4,0.6607793569564819,0.4,1,1
4785,4,0.6484745144844055,0.0,0,0
3836,4,0.6495792865753174,0.4,1,1
1130,4,0.6999451518058777,0.4,0,0
2986,4,0.6440216302871704,0.2,0,0
3248,4,0.4764588475227356,0.0,0,0
4799,4,0.511451005935669,0.0,0,0
1678,4,0.47405630350112915,0.0,0,0
1152,4,0.769315242767334,0.4,0,0
1240,4,0.5948877334594727,0.4,0,0
4776,4,0.7234271764755249,0.4,1,0
4232,4,0.6571313142776489,0.2,1,0
2177,4,0.5535472631454468,0.2,0,0
1848,4,0.6732355952262878,0.2,1,0
216,4,0.5164740085601807,0.2,0,0
4612,4,0.4792206585407257,0.0,1,0
255,4,0.6442532539367676,0.0,0,0
2721,4,0.5779356956481934,0.4,1,1
859,4,0.5878957509994507,0.2,1,0
290,4,0.45684200525283813,0.0,1,0
3804,4,0.6802685260772705,0.4,1,1
2897,4,0.6538411378860474,0.6,0,0
1202,4,0.6601701378822327,0.2,0,0
4636,4,0.5324627161026001,0.0,0,0
951,4,0.5231934785842896,0.2,0,0
1070,4,0.6067657470703125,0.2,0,0
4964,4,0.5272340774536133,0.2,0,0
182,4,0.5097838640213013,0.4,0,0
4168,5,0.5170751810073853,0.0,1,0
3022,5,0.3752442002296448,0.0,1,0
3096,5,0.4222900867462158,0.0,0,0
2848,5,0.3889174461364746,0.25,0,0
1221,5,0.599867045879364,0.25,1,0
3998,5,0.48305946588516235,0.0,1,0
3741,5,0.4099125862121582,0.25,1,0
3707,5,0.40570515394210815,0.0,0,0
806,5,0.46691325306892395,0.25,1,0
3978,5,0.4825190603733063,0.25,0,0
1621,5,0.5722864866256714,0.25,1,0
1647,5,0.39218461513519287,0.25,1,0
3289,5,0.41411906480789185,0.0,0,0
480,5,0.4518858790397644,0.0,0,0
3509,5,0.4684723913669586,0.25,1,0
4507,5,0.3957594633102417,0.0,0,0
1016,5,0.5641664266586304,0.25,1,0
840,5,0.4940405488014221,0.5,1,1
3149,5,0.46735140681266785,0.0,0,0
2845,5,0.4564076066017151,0.0,0,0
4524,5,0.5120425224304199,0.25,1,0
1899,5,0.41533923149108887,0.25,0,0
1003,5,0.4436323046684265,0.0,1,0
2098,5,0.37471431493759155,0.5,1,1
4501,5,0.31763577461242676,0.25,1,0
1829,5,0.4740769863128662,0.25,1,0
4110,5,0.33157920837402344,0.0,1,0
1720,5,0.4753459692001343,0.0,1,0
2249,5,0.49033161997795105,0.0,1,0
818,5,0.5442478060722351,0.25,0,0
3950,6,0.4396122097969055,0.16666666666666666,0,0
2690,6,0.4468129277229309,0.0,1,0
1696,6,0.4741864800453186,0.3333333333333333,0,0
3811,6,0.4550480246543884,0.16666666666666666,1,0
835,6,0.4210047125816345,0.0,1,0
4527,6,0.5360760688781738,0.3333333333333333,1,0
3660,6,0.4867229163646698,0.3333333333333333,1,0
2752,6,0.46903717517852783,0.3333333333333333,0,0
4771,6,0.5017789602279663,0.3333333333333333,1,0
4912,6,0.5044693946838379,0.0,0,0
3845,6,0.43913906812667847,0.0,1,0
2748,6,0.3161572217941284,0.0,1,0
2887,6,0.39224132895469666,0.16666666666666666,1,0
4383,6,0.3878514766693115,0.16666666666666666,1,0
3448,6,0.36187881231307983,0.3333333333333333,0,0
4473,6,0.45836833119392395,0.16666666666666666,1,0
1156,6,0.4637349247932434,0.3333333333333333,1,0
511,6,0.6551632285118103,0.16666666666666666,0,0
